num_wifi_conn;time;day;month;career_type;type_teaching;type_grade;academic_year;electricity_consumption;incidence
4.0;0.0;5;0;5;3;2;3;3.898377653704444;0
8.0;0.25;5;0;7;3;2;2;7.6699215588870295;0
11.0;0.5;5;0;2;1;1;0;2.3893792128767943;0
4.0;0.75;5;0;6;4;2;0;2.7088390042411365;0
14.0;1.0;5;0;3;1;0;2;2.7215210285437332;0
17.0;1.25;5;0;4;0;0;0;9.694751237234026;0
19.0;1.5;5;0;2;4;2;1;5.529102009020967;0
9.0;1.75;5;0;4;3;0;4;1.9109457889489792;0
3.0;2.0;5;0;3;4;2;4;6.394011426559405;0
17.0;2.25;5;0;6;3;1;0;3.4166085199088987;0
11.0;2.5;5;0;4;4;2;2;9.586736587443482;0
5.0;2.75;5;0;0;2;1;0;5.245566378231681;0
9.0;3.0;5;0;0;4;2;2;9.289222217190826;0
7.0;3.25;5;0;6;1;2;3;2.0398883676207165;0
21.0;3.5;5;0;7;3;0;0;5.144666311538275;0
17.0;3.75;5;0;5;2;1;1;6.212240452915303;0
13.0;4.0;5;0;5;2;2;1;7.325229319115378;0
6.0;4.25;5;0;5;3;1;1;10.02345316976933;0
4.0;4.5;5;0;6;1;1;1;3.805374885880463;0
9.726864338320672;4.75;5;0;3;3;1;3;4.799803149076174;1
13.0;5.0;5;0;6;1;1;2;9.314438816607202;0
24.0;5.25;5;0;0;0;2;4;1.449539796048417;0
7.0;5.5;5;0;2;4;1;2;2.5921609482328147;0
20.0;5.75;5;0;1;0;2;2;6.094062904544096;0
5.0;6.0;5;0;3;4;2;0;3.120728252447207;0
18.0;6.25;5;0;3;0;1;4;9.343625293256077;0
5.0;6.5;5;0;7;1;2;3;4.6703737244650565;0
7.698035465374168;6.75;5;0;3;0;1;3;2.0977168738663416;1
33.0;7.0;5;0;3;2;0;0;9.911127403121966;0
30.246448565217133;7.25;5;0;4;4;0;2;19.158598194664975;1
33.0;7.5;5;0;2;0;2;2;8.663492535794;0
35.0;7.75;5;0;6;3;0;0;14.863242329521581;0
27.0;8.0;5;0;4;2;1;1;13.835614525701017;0
16.0;8.25;5;0;1;4;1;3;10.71941097121394;0
26.0;8.5;5;0;0;1;0;1;15.994283394130946;0
37.0;8.75;5;0;5;2;1;0;13.762803908737755;0
21.0;9.0;5;0;0;4;0;3;14.61829579389725;0
28.0;9.25;5;0;4;0;0;2;14.61105162289451;0
33.0;9.5;5;0;5;4;1;4;15.784230098556206;0
32.0;9.75;5;0;2;4;0;1;8.349858481673069;0
24.0;10.0;5;0;6;4;0;3;11.906116882800589;0
27.223778059584145;10.25;5;0;4;2;2;0;14.180759766092368;1
28.0;10.5;5;0;6;3;2;1;17.633595479322686;0
24.0;10.75;5;0;3;0;0;0;7.0699046793779425;0
35.0;11.0;5;0;5;2;1;1;8.81136161258367;0
27.0;11.25;5;0;2;3;2;0;13.805535371117632;0
24.0;11.5;5;0;7;2;1;1;10.374777912427536;0
31.0;11.75;5;0;5;3;0;0;8.437553014289888;0
25.0;12.0;5;0;5;0;0;0;13.083959681909239;0
33.0;12.25;5;0;6;2;1;2;9.805868524918829;0
24.0;12.5;5;0;0;1;2;3;11.476378796893634;0
34.0;12.75;5;0;7;0;2;2;8.600631792745899;0
19.0;13.0;5;0;0;0;0;3;9.28173353488502;0
33.0;13.25;5;0;7;0;0;1;8.700077286579845;0
19.80319614705837;13.5;5;0;3;2;1;2;16.36971251070847;1
22.0;13.75;5;0;0;0;2;2;7.38873251471982;0
25.0;14.0;5;0;4;3;2;1;12.717401166948662;0
25.0;14.25;5;0;4;0;2;0;8.78663416873244;0
45.571444458607694;14.5;5;0;5;4;2;1;13.541413569132837;1
27.0;14.75;5;0;6;1;0;1;13.372906129532712;0
20.0;15.0;5;0;7;1;0;1;7.319674166116992;0
28.0;15.25;5;0;5;1;0;0;10.392747762439528;0
19.0;15.5;5;0;6;1;1;3;13.483959848488306;0
27.638031376497096;15.75;5;0;5;3;2;1;16.07328449993549;1
19.0;16.0;5;0;5;4;1;2;13.317713479031717;0
43.125503131356396;16.25;5;0;0;4;2;3;20.66468823893287;1
32.0;16.5;5;0;7;3;0;2;13.583219638722179;0
18.0;16.75;5;0;2;0;2;3;14.789850720333344;0
25.72338704376055;17.0;5;0;4;4;1;1;18.15693261002251;1
30.0;17.25;5;0;1;3;2;4;11.891992019025496;0
19.201833437068785;17.5;5;0;0;2;0;1;12.101636196111373;1
37.0;17.75;5;0;0;0;0;1;9.756381289145391;0
19.0;18.0;5;0;2;2;0;0;13.336755023392902;0
23.0;18.25;5;0;7;1;2;3;14.666242332463852;0
35.0;18.5;5;0;3;0;0;2;8.287791533183611;0
14.0;18.75;5;0;6;1;1;1;8.824608394725038;0
24.0;19.0;5;0;2;3;0;3;7.732533559558176;0
30.722130590823017;19.25;5;0;7;1;2;0;10.986401035147576;1
38.0;19.5;5;0;4;0;0;3;14.317764205282101;0
31.0;19.75;5;0;1;2;2;1;10.065776478040544;0
5.0;20.0;5;0;4;0;2;0;7.966280348854673;0
23.0;20.25;5;0;2;0;1;3;1.714588566263572;0
17.0;20.5;5;0;3;1;1;2;1.3242384951613382;0
12.0;20.75;5;0;3;4;1;0;10.710350973526907;0
